"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.597005937E1,6.499861067E1,2.559569056E1,3.161509115E1,2.000639915E0,3.124835510E2,4.699999809E0,0.000000000E0
2.699025729E1,6.499861911E1,2.559567477E1,3.141393692E1,2.013135195E0,3.171320801E2,4.699999809E0,0.000000000E0
2.798467604E1,6.499862738E1,2.559565913E1,3.107142889E1,2.002087593E0,3.216594849E2,4.699999809E0,0.000000000E0
2.898524427E1,6.499863568E1,2.559564442E1,3.087175066E1,1.993295193E0,3.185388489E2,4.699999809E0,0.000000000E0
2.998364843E1,6.499864386E1,2.559562969E1,3.071277897E1,1.981213689E0,3.220385742E2,4.699999809E0,0.000000000E0
3.098461875E1,6.499865219E1,2.559561477E1,3.068063849E1,1.968683839E0,3.201759033E2,4.699999809E0,0.000000000E0
3.197097656E1,6.499866069E1,2.559560000E1,3.046711311E1,1.961891294E0,3.243208618E2,4.699999809E0,0.000000000E0
3.297535572E1,6.499866915E1,2.559558469E1,3.014844708E1,1.946969986E0,3.208627319E2,4.699999809E0,0.000000000E0
3.397403802E1,6.499867807E1,2.559556950E1,3.015853590E1,1.933122158E0,3.215321655E2,4.699999809E0,0.000000000E0
3.497473593E1,6.499869542E1,2.559553844E1,2.999387581E1,1.658500195E0,3.218191528E2,4.699999809E0,0.000000000E0
3.597360000E1,6.499871046E1,2.559551255E1,2.995916817E1,1.449386358E0,3.231576538E2,4.699999809E0,0.000000000E0
3.697103749E1,6.499872483E1,2.559548746E1,3.007092508E1,1.508906007E0,3.209463501E2,4.699999809E0,0.000000000E0
3.798893281E1,6.499873927E1,2.559546496E1,3.019505281E1,1.536616921E0,3.242492676E2,4.699999809E0,0.000000000E0
3.898572968E1,6.499875356E1,2.559544467E1,3.018598614E1,1.546822309E0,3.270902710E2,4.699999809E0,0.000000000E0
3.997178385E1,6.499876717E1,2.559542565E1,3.012725512E1,1.545389652E0,3.282296753E2,4.699999809E0,0.000000000E0
4.097605728E1,6.499877972E1,2.559540601E1,3.018803382E1,1.539057732E0,3.259048157E2,4.699999809E0,0.000000000E0
4.201624635E1,6.499879132E1,2.559538550E1,3.015382196E1,1.531093836E0,3.241828308E2,4.699999809E0,0.000000000E0
