"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.393306730E-1,-3.251000047E-1,-6.579999626E-2,-4.429999739E-2
7.493306730E-1,-2.750000060E-1,-6.629999727E-2,1.151999980E-1
7.593306730E-1,-1.894999892E-1,-1.960000023E-2,1.765999943E-1
7.693306730E-1,-1.440999955E-1,-4.100000020E-3,7.189999521E-2
7.793306730E-1,-1.568999887E-1,5.999999703E-4,-1.303000003E-1
7.893306730E-1,-1.493999958E-1,4.529999942E-2,-2.246999890E-1
7.993306730E-1,-1.034999937E-1,6.279999763E-2,-2.811000049E-1
8.093306730E-1,-5.759999901E-2,7.310000062E-2,-2.307000011E-1
8.193306730E-1,-1.169999968E-2,4.690000042E-2,-9.329999983E-2
8.293306730E-1,3.379999846E-2,7.039999962E-2,-6.399999559E-2
8.393306730E-1,5.810000002E-2,1.223999932E-1,-1.519999932E-2
8.493306730E-1,1.092999950E-1,1.827999949E-1,1.512999982E-1
8.593306730E-1,2.369999886E-1,2.603999972E-1,1.908999979E-1
8.693306730E-1,1.976999938E-1,2.574999928E-1,1.921999902E-1
8.793306730E-1,1.202999949E-1,1.360999942E-1,1.645999998E-1
8.893306730E-1,6.419999897E-2,8.299999684E-2,1.668999940E-1
8.993306730E-1,1.929999888E-2,4.979999736E-2,1.891999990E-1
9.093306730E-1,8.519999683E-2,9.470000118E-2,3.200999796E-1
9.193306730E-1,9.239999950E-2,4.140000045E-2,3.725999892E-1
9.293306730E-1,-1.420000009E-2,1.549999975E-2,3.190999925E-1
9.393306730E-1,-7.979999483E-2,-4.169999808E-2,-2.134999931E-1
9.493306730E-1,-2.788999975E-1,1.362999976E-1,-1.470999956E0
9.593306730E-1,-7.069999725E-2,1.595999897E-1,-1.850000024E-1
9.693306730E-1,-1.899999939E-2,-2.699999884E-2,1.086400032E0
9.793306730E-1,-1.536999941E-1,-1.042999998E-1,1.125699997E0
9.893306730E-1,-2.380999923E-1,-8.469999582E-2,4.640999734E-1
9.993306730E-1,-2.026000023E-1,-1.188999936E-1,-3.321999907E-1
1.009330673E0,-2.234999985E-1,-3.390000015E-2,-7.754999995E-1
1.019330673E0,-1.122999936E-1,4.569999874E-2,-9.375999570E-1
1.029330673E0,4.230000079E-2,8.159999549E-2,-1.123099923E0
1.039330673E0,1.350999922E-1,1.730999947E-1,-1.145399928E0
1.049330673E0,2.134999931E-1,2.336999923E-1,-9.077000022E-1
1.059330673E0,2.700999975E-1,2.324999869E-1,-6.441000104E-1
1.069330673E0,1.396999955E-1,8.079999685E-2,-4.616999924E-1
1.079330673E0,-4.969999939E-2,-1.041999981E-1,-3.111999929E-1
1.089330673E0,-1.140999943E-1,-1.381999999E-1,4.299999774E-2
1.099330673E0,-1.314000040E-1,-1.130999997E-1,2.793999910E-1
1.109330673E0,-1.125999987E-1,-7.289999723E-2,3.208999932E-1
1.119330673E0,-6.830000132E-2,-8.679999411E-2,3.440999985E-1
1.129330673E0,-1.609999873E-2,-3.559999913E-2,4.959999919E-1
1.139330673E0,8.700000122E-3,-1.669999957E-2,4.535000026E-1
1.149330673E0,-1.389999967E-2,3.219999745E-2,4.602999985E-1
1.159330673E0,0.000000000E0,6.769999862E-2,4.799999893E-1
1.169330673E0,7.559999824E-2,1.244999990E-1,3.330000043E-1
1.179330673E0,1.541000009E-1,1.711999923E-1,1.279999912E-1
1.189330673E0,1.251000017E-1,2.177999914E-1,-5.719999969E-2
1.199330673E0,5.439999700E-2,1.757999957E-1,-2.525999844E-1
1.209330673E0,-6.069999933E-2,3.509999812E-2,-3.899999857E-1
1.219330673E0,-9.420000017E-2,1.289999951E-2,-3.033999801E-1
1.229330673E0,-1.814000010E-1,-8.569999784E-2,-1.986999959E-1
1.239330673E0,-1.631999910E-1,-1.420999914E-1,4.160000011E-2
1.249330673E0,-1.537999958E-1,-2.248999923E-1,2.518000007E-1
1.259330673E0,-1.697999984E-1,-2.570999861E-1,1.975999922E-1
1.269330673E0,-2.531000078E-1,-2.164999992E-1,6.390000135E-2
1.279330673E0,-2.329999954E-1,-1.310999990E-1,1.388999969E-1
1.289330673E0,-2.061000019E-1,-1.013999954E-1,1.632999927E-1
1.299330673E0,-1.415999979E-1,-6.239999831E-2,1.288999915E-1
1.309330673E0,8.769999444E-2,-1.429999992E-2,1.631999910E-1
1.319330673E0,2.574999928E-1,3.319999948E-2,-7.999999449E-3
1.329330673E0,2.407999933E-1,3.260000050E-2,-1.305000037E-1
1.339330673E0,-1.181999967E-1,-1.318999976E-1,-1.946999878E-1
1.349330673E0,-1.323999912E-1,9.789999574E-2,-2.379999869E-2
1.359330673E0,1.758999974E-1,1.915999949E-1,-2.732999921E-1
1.369330673E0,2.608000040E-1,1.691000015E-1,-1.796000004E-1
1.379330673E0,2.442999929E-1,1.171999946E-1,1.180999950E-1
1.389330673E0,1.489999890E-1,1.162999943E-1,3.157999814E-1
1.399330673E0,5.249999836E-2,1.899999939E-2,3.608999848E-1
1.409330673E0,5.419999734E-2,-5.669999868E-2,3.073999882E-1
1.419330673E0,3.729999810E-2,-1.431999952E-1,2.448999882E-1
1.429330673E0,2.019999921E-2,-1.912999898E-1,1.335999966E-1
1.439330673E0,3.959999979E-2,-8.389999717E-2,7.169999927E-2
1.449330673E0,1.342999935E-1,-7.999999449E-3,-1.171999946E-1
1.459330673E0,3.170999885E-1,2.699999884E-2,-4.526999891E-1
1.469330673E0,3.789999783E-1,8.479999751E-2,-8.774999976E-1
1.479330673E0,3.585000038E-1,5.350000039E-2,-1.291399956E0
1.489330673E0,2.933000028E-1,-6.229999661E-2,-1.562299967E0
1.499330673E0,2.505999804E-1,-1.463999897E-1,-1.699899912E0
1.509330673E0,2.899000049E-1,-1.303000003E-1,-1.550199986E0
1.519330673E0,3.704999983E-1,-1.630000025E-2,-1.114899993E0
1.529330673E0,5.085999966E-1,7.099999487E-2,-2.830999792E-1
1.539330673E0,6.516000032E-1,1.083000004E-1,4.397999942E-1
1.549330673E0,7.646999955E-1,8.089999855E-2,1.125299931E0
1.559330673E0,8.807999492E-1,5.169999972E-2,1.774599910E0
1.569330673E0,9.009999633E-1,-3.289999962E-1,1.986799955E0
1.579330673E0,7.082999945E-1,-8.130999804E-1,1.733199954E0
